Province,Year,Teacher_count_primary,PTR_primary,Student_enrolment_primary,Primary_Schools,Rural_schools,Urban_schools,ptr_primary_calc,teacher_growth_rate,enrolment_growth_rate,recruitment_gap,teachers_per_school,learners_per_school,rural_school_pct,ptr_trend_3yr,attrition_proxy_rate,risk_label
Central,2010,9098,49.2,351709,999,931.0,129.0,38.6578,27.4944,0.8534,-26.641,9.1071,352.0611,0.8783,43.7636,0.0,0
Central,2011,8331,36.88,380496,1020,908.0,112.0,45.6723,-8.4304,8.1849,16.6153,8.1676,373.0353,0.8902,44.3999,0.0843,0
Central,2012,9301,55.8,356596,433,889.0,111.0,38.3395,11.6433,-6.2813,-17.9246,21.4804,823.5473,0.889,40.8899,0.0,1
Central,2013,9489,54.0,389019,1120,1060.0,140.0,40.9968,2.0213,9.0924,7.0711,8.4723,347.3384,0.8833,41.6695,0.0,0
Central,2014,9341,53.4,385029,1022,950.0,145.0,41.2192,-1.5597,-1.0257,0.534,9.1399,376.7407,0.8676,40.1852,0.0156,1
Central,2016,9457,42.6,402813,1042,974.0,149.0,42.5942,1.2418,4.6189,3.3771,9.0758,386.5768,0.8673,41.6034,0.0,0
Central,2019,8972,54.9,414477,1080,1074.0,171.0,46.1967,-5.1285,2.8956,8.0241,8.3074,383.775,0.8627,43.3367,0.0513,1
Central,2020,10114,40.4,434841,1114,974.0,140.0,42.994,12.7285,4.9132,-7.8153,9.079,390.342,0.8743,43.9283,0.0,1
Central,2021,10161,61.0,432496,999,958.0,174.0,42.5643,0.4647,-0.5393,-1.004,10.1712,432.9289,0.8463,43.9183,0.0,0
Central,2022,13961,36.0,508279,1311,1058.0,552.0,36.4071,37.3979,17.5222,-19.8757,10.6491,387.7033,0.6571,40.6551,0.0,0
Central,2023,14172,38.0,518495,1378,1071.0,556.0,36.5859,1.5114,2.0099,0.4985,10.2845,376.2663,0.6583,38.5191,0.0,1
Central,2024,14666,44.0,563892,1278,993.0,515.0,38.4489,3.4857,8.7555,5.2698,11.4757,441.23,0.6585,37.1473,0.0,0
Central,2025,13294,51.0,596557,1398,1124.0,296.0,44.8742,-9.355,5.7928,15.1478,9.5093,426.7217,0.7915,39.9697,0.0935,1
Copperbelt,2010,15036,45.5,457539,978,485.0,524.0,30.4296,27.7268,1.501,-26.2258,15.3742,467.8313,0.4807,34.3608,0.0,0
Copperbelt,2012,13098,45.0,454857,480,444.0,487.0,34.7272,25.7126,9.9655,-15.7471,27.2875,947.6188,0.4769,34.9523,0.0,0
Copperbelt,2013,11846,44.7,386726,903,502.0,524.0,32.6461,-9.5587,-14.9786,-5.4199,13.1185,428.268,0.4893,35.6912,0.0956,1
Copperbelt,2014,14250,42.9,456263,1039,514.0,672.0,32.0185,20.2938,17.9809,-2.3129,13.7151,439.1367,0.4334,33.1306,0.0,0
Copperbelt,2016,12746,34.1,434351,1083,506.0,714.0,34.0774,-10.5544,-4.8025,5.7519,11.7692,401.0628,0.4148,32.914,0.1055,0
Copperbelt,2019,15338,37.1,438221,1040,501.0,680.0,28.5709,20.3358,0.891,-19.4448,14.7481,421.3663,0.4242,31.5556,0.0,1
Copperbelt,2020,15919,42.5,427407,1017,459.0,558.0,26.8489,3.788,-2.4677,-6.2557,15.6529,420.2625,0.4513,29.8324,0.0,1
Copperbelt,2021,15970,52.0,492011,1196,598.0,757.0,30.8085,0.3204,15.1153,14.7949,13.3528,411.3804,0.4413,28.7428,0.0,1
Copperbelt,2022,18642,28.0,521673,1311,611.0,778.0,27.9837,16.7314,6.0287,-10.7027,14.2197,397.9199,0.4399,28.547,0.0,1
Copperbelt,2023,18828,33.0,588567,1378,768.0,781.0,31.2602,0.9977,12.823,11.8253,13.6633,427.1168,0.4958,30.0175,0.0,1
Copperbelt,2024,19734,34.0,597357,1240,766.0,778.0,30.2704,4.812,1.4935,-3.3185,15.9145,481.7395,0.4961,29.8381,0.0,0
Copperbelt,2025,14453,53.0,616830,1164,527.0,879.0,42.6783,-26.7609,3.2599,30.0208,12.4167,529.9227,0.3748,34.7363,0.2676,1
Eastern,2010,7304,60.3,360654,1138,1084.0,56.0,49.3776,11.0199,1.1025,-9.9174,6.4183,316.9192,0.9509,51.7994,0.0,1
Eastern,2011,6070,41.0,377058,1111,1067.0,44.0,62.1183,-16.8949,4.5484,21.4433,5.4635,339.3861,0.9604,55.239,0.1689,0
Eastern,2012,7338,71.2,359525,557,1042.0,45.0,48.995,20.8896,-4.6499,-25.5395,13.1741,645.4668,0.9586,53.497,0.0,0
Eastern,2013,7152,69.3,363599,1037,1034.0,72.0,50.8388,-2.5348,1.1332,3.668,6.8968,350.6258,0.9349,53.984,0.0253,1
Eastern,2014,7317,66.1,369654,1044,1051.0,75.0,50.5199,2.307,1.6653,-0.6417,7.0086,354.0747,0.9334,50.1179,0.0,0
Eastern,2016,6488,55.9,372420,1010,1010.0,72.0,57.4014,-11.3298,0.7483,12.0781,6.4238,368.7327,0.9335,52.92,0.1133,1
Eastern,2019,6868,84.0,415589,1123,1186.0,105.0,60.5109,5.857,11.5915,5.7345,6.1158,370.0703,0.9187,56.1441,0.0,1
Eastern,2020,7192,52.4,401692,1144,1073.0,71.0,55.8526,4.7175,-3.3439,-8.0614,6.2867,351.1294,0.9379,57.9216,0.0,1
Eastern,2021,7260,73.0,433267,1415,1427.0,176.0,59.6787,0.9455,7.8605,6.915,5.1307,306.1958,0.8902,58.6807,0.0,0
Eastern,2022,10815,42.0,456285,1355,1432.0,170.0,42.19,48.9669,5.3127,-43.6542,7.9815,336.7417,0.8939,52.5738,0.0,0
Eastern,2023,11093,42.0,451692,1425,1433.0,170.0,40.7187,2.5705,-1.0066,-3.5771,7.7846,316.9768,0.8939,47.5291,0.0,0
Eastern,2024,11422,59.0,559223,1459,1473.0,175.0,48.9602,2.9658,23.8063,20.8405,7.8286,383.292,0.8938,43.9563,0.0,0
Eastern,2025,15625,41.0,583003,1508,1277.0,174.0,37.3122,36.7974,4.2523,-32.5451,10.3614,386.6068,0.8801,42.3304,0.0,0
Luapula,2010,5300,60.1,251050,633,629.0,51.0,47.3679,46.8144,3.9385,-42.8759,8.3728,396.6035,0.925,57.1378,0.0,0
Luapula,2011,3818,41.1,251065,606,563.0,43.0,65.7583,-27.9623,0.006,27.9683,6.3003,414.2987,0.929,60.0113,0.2796,0
Luapula,2012,5108,96.0,241943,246,571.0,41.0,47.3655,33.7873,-3.6333,-37.4206,20.7642,983.5081,0.933,53.4972,0.0,0
