province,year,teacher_count_primary,ptr_primary,student_enrolment_primary,primary_schools,rural_schools,urban_schools
Central,2009,7136,58.0,348733,996,931,129
Central,2010,9098,49.2,351709,999,931,129
Central,2011,8331,36.88,380496,1020,908,112
Central,2012,9301,55.8,356596,433,889,111
Central,2013,9489,54.0,389019,1120,1060,140
Central,2014,9341,53.4,385029,1022,950,145
Central,2016,9457,42.6,402813,1042,974,149
Central,2019,8972,54.9,414477,1080,1074,171
Central,2020,10114,40.4,434841,1114,974,140
Central,2021,10161,61,432496,999,958,174
Central,2022,13961,36,508279,1311,1058,552
Central,2023,14172,38,518495,1378,1071,556
Central,2024,14666,44,563892,1278,993,515
Central,2025,13294,51,596557,1398,1124,296
Copperbelt,2009,11772,47.3,450773,884,485,524
Copperbelt,2010,15036,45.5,457539,978,485,524
Copperbelt,2011,10419,,413636,896,448.448
Copperbelt,2012,13098,45.0,454857,480,444,487
Copperbelt,2013,11846,44.7,386726,903,502,524
Copperbelt,2014,14250,42.9,456263,1039,514,672
Copperbelt,2016,12746,34.1,434351,1083,506,714
Copperbelt,2019,15338,37.1,438221,1040,501,680
Copperbelt,2020,15919,42.5,427407,1017,459,558
Copperbelt,2021,15970,52,492011,1196,598,757
Copperbelt,2022,18642,28,521673,1311,611,778
Copperbelt,2023,18828,33,588567,1378,768,781
Copperbelt,2024,19734,34,597357,1240,766,778
Copperbelt,2025,14453,53,616830,1164,527,879
Eastern,2009,6579,59.6,356721,1081,1084,56
Eastern,2010,7304,60.3,360654,1138,1084,56
Eastern,2011,6070,41.0,377058,1111,1067,44
Eastern,2012,7338,71.2,359525,557,1042,45
Eastern,2013,7152,69.3,363599,1037,1034,72
Eastern,2014,7317,66.1,369654,1044,1051,75
Eastern,2016,6488,55.9,372420,1010,1010,72
Eastern,2019,6868,84.0,415589,1123,1186,105
Eastern,2020,7192,52.4,401692,1144,1073,71
Eastern,2021,7260,73,433267,1415,1427,176
Eastern,2022,10815,42,456285,1355,1432,170
Eastern,2023,11093,42,451692,1425,1433,170
Eastern,2024,11422,59,559223,1459,1473,175
Eastern,2025,15625,41,583003,1508,1277,174
Luapula,2009,3610,65.3,241537,628,629,51
Luapula,2010,5300,60.1,251050,633,629,51
Luapula,2011,3818,41.1,251065,606,563,43
Luapula,2012,5108,96.0,241943,246,571,41
Luapula,2013,5352,92.3,261451,669,653,64
Luapula,2014,5227,101.8,267688,626,642,47
Luapula,2016,4613,56.0,273397,631,645,49
Luapula,2019,6038,84.5,282680,670,677,83
Luapula,2020,6265,27.8,302188,679,608,71
Luapula,2021,6318,50,305742,700,711,82
Luapula,2022,8101,40,323290,629,707,86
Luapula,2023,8355,44,353443,661,101,814
Luapula,2024,8598,48,363617,744,1066,224
Luapula,2025,9883,44,392155,767,698,144
Lusaka,2009,7972,49.5,329864,585,211,474
Lusaka,2010,11647,44.5,381397,677,211,474
Lusaka,2011,4715,39.0,353969,667,213,454
Lusaka,2012,9496,56.3,333754,324,203,465
Lusaka,2013,9660,46.3,349646,639,213,522
Lusaka,2014,11694,44.7,394845,787,300,601
Lusaka,2016,10822,34.7,371433,786,294,597
Lusaka,2019,11254,45.0,368950,731,263,597
Lusaka,2020,10436,59.2,359428,684,260,424
Lusaka,2021,10468,73,288719,666,305,449
Lusaka,2022,11183,26,290061,689,399,511
Lusaka,2023,11304,27,270822,661,658,138
Lusaka,2024,11797,44,447938,1023,101,817
Lusaka,2025,11577,52,484846,1241,286,1200
Muchinga,2013,4002,57.8,195908,836,816,54
Muchinga,2014,3996,65.5,213566,688,683,58
Muchinga,2016,4046,51.7,210145,673,696,42
Muchinga,2019,4119,66.7,225116,685,734,55
Muchinga,2020,4113,29.2,228494,684,643,41
Muchinga,2021,4171,45,193330,620,656,46
Muchinga,2022,6082,33,199420,656,670,123
Muchinga,2023,6236,37,222072,690,695,98
Muchinga,2024,6419,42,239148,717,756,102
Muchinga,2025,6240,44,245763,689,507,79
North-Western,2009,3995,55.2,197217,666,688,33
North-Western,2010,5098,51.1,200516,690,688,33
North-Western,2011,4200,35.6,203736,689,667,22
North-Western,2012,4669,58.3,493339,339,660,22
North-Western,2013,4863,57.5,214183,700,725,36
North-Western,2014,4935,46.7,227185,704,740,46
North-Western,2016,4521,49.0,231163,678,731,41
North-Western,4800,2019,62.6,243890,749,818,82
North-Western,2020,4852,72.8,253056,775,719,56
North-Western,2021,4909,50,310722,1050,1027,162
North-Western,2022,8104,54,438006,953,961,205
North-Western,2023,8330,55,439356,1002,981,208
